intent,precision,recall,f1,support
apple_id_icloud_account,0.07692307692307693,1.0,0.14285714285714285,1
apps_media,0.5789473684210527,0.6111111111111112,0.5945945945945946,18
battery_power,0.6842105263157895,0.6190476190476191,0.65,21
connectivity_network,0.5,0.5333333333333333,0.5161290322580645,15
device_hardware_charging,0.5833333333333334,0.7368421052631579,0.6511627906976745,19
features_accessibility_other,0.7368421052631579,0.5,0.5957446808510638,28
ios_update_software,0.75,0.3333333333333333,0.46153846153846156,18
orders_repairs_support,0.6,0.782608695652174,0.6792452830188679,23
purchases_billing_subscriptions,0.9473684210526315,0.6923076923076923,0.8,26
sync_setup_data,0.7272727272727273,0.7741935483870968,0.75,31
